"P_i","text_id","short_text"
0.222222222222222,"10003","There was a huge freeway where many people were driving. One person was sick so he got out of his car to stretch his legs. All the cars were stopped and people started taking pictures of him. Others sat down with him to take pictures. People were so excited they decided to start laying down in the middle of the freeway."
0.288888888888889,"10003_1","We were driving down a huge freeway. We had to stop sometimes because we felt sick or had to stretch our legs. We stopped for a photo op, too. My sister made sure to sit in the photo op. My other sister decided to lay in the freeway."
0.222222222222222,"10092","The parade was full of a lot of people holding on to these floats. Some displayed their silly hats. In the parade the people held on tight to their sticks. The parade also put on a nice show for the spectators. This was definitely a hat goofy event."
0.177777777777778,"10232_0","It was just a normal day and the neighbors were driving home. They loved the street which they called home for the past few years. The houses were beautiful, safe, and elegant. Their neighborhood had changed significantly over the last twenty years as each house become bright and lively with color. That is until the neighbors passed the new white house which had just been built, undoubtedly by a disturbed soul seeking to disrupt the calm life of the neighborhood."
0.377777777777778,"1023c3a657f870432e8142b3bf704e","Earning a residual money is powerful and a great digital recruiter can do that by doing work with corporations placing contractors (those who are ready to get the job done on a brief-expression basis for an hourly amount as a substitute of a wage).A organization is nothing at all with out its sta..."
0.488888888888889,"10321","Last night, we were trying to decide what to have for dinner, so we looked at some menus. My best friend got distracted and suggested we go to a pet show she'd heard about. My other friend got her back on track, and we talked more about restaurants and menus. I remembered one restaurant we used to go to go to that closed down and we miss. It seemed like we had read a million menus for hours and hours!"
0.2,"10849","Artists set up their float for a parade. People gather to view the intricate floats. There are some rather interesting designs incorporated. The small parade was held at tourist heavy location. The distinct landmark made the parade easy to find."
0.222222222222222,"10872","My daughter was in a fabulous play last night about a pageant. There were many kids involved in the production. Many of the kids were getting the sets ready for each act. Plenty of singing occurred throughout the night. All of the girls had a really great time."
0.266666666666667,"10c560c2300dec68e2ff10c673c5ec22","You shouldn't assume that only people with special skills are a large budget can rank their sites well you can too, if you're willing to work for it. However, there are a few SEO factors that you need to keep in mind at all times to ensure that you're constantly getting ranked for your targeted k..."
0.288888888888889,"11016_1","The river is a beautiful place for tourists to visit. There are lots of food choices nearby. There is a nice statue which is interesting to view. It is lovely to look at all the parked boats. And there are sometimes fun entertainers wearing coke bottle costumes."
0.355555555555556,"11123","Her hair was swept over her eyes. Her hair is very curly. A beautiful monarch sits on flowers. What an amusing lizard he is. We are having fun bowling."
0.244444444444444,"111230","I went and took pictures of people, places, and things. I tried this neck shot. I also took a picture of a butterfly. My favorite picture is one of a lizard. The last picture was one in a bowling alley."
0.222222222222222,"11123_0","I went and took pictures of people, places, and things. I tried this neck shot. I also took a picture of a butterfly. My favorite picture is one of a lizard. The last picture was one in a bowling alley."
0.355555555555556,"11191","This Christmas was my baby's Benji first. Noni gave him lots of kisses. Everyone gathered together to open gifts. Beji got a stuffed animal for christmas. Benji got the perfect piggy bank and we named it rainy."
0.2,"1131","I left for the weekends to support my uncle We had many signs about love and many other levels We talked about touching moments and treatment between individuals We had many loving signs that would remind people about violence we were talking about relationships and marriage"
0.2,"11375_0","One winter's day, I was driving past the cemetery on my way to the airport. I decided to stop for a few minutes and take a walk in the snow. The trees reminded me of a park I visited long ago. I continued to walk through the cold snow. Before I headed back to my car, I decided to walk through the cemetery and pay my respects to those who have died."
0.288888888888889,"11486_1","They loved the architecture of churches. They loved the art of stained glass windows. Standing in front were three members of a secret organization of assassin nuns disguised as tourists. They loved to view the sacred and stayed there all day. From the sacred they visited the killing floors of butchers were dead pigs hung for sale."
0.4,"11586_1","This stained glass if from some famous artist. This one took 2 years to finsh. This one kindo f scares me sometimes. This one is the newest piece her. This church is really old."
0.222222222222222,"11730","As I looked out of the helicopter at the road below, I could see why we were going in by air. The ariel views of the pyramid were breathtaking. As we got closer to land, a raven followed us the rest of the way. We landed at the pyramid in front of a door with the lovliest white light surrounding it. We finally got to go inside of the great pyramid."
0.222222222222222,"118cd7ba4aa86765c7a972460d68f8ee","Wedding is just about the interpersonal customs of joining two individuals jointly. It is the very first step in raising a family group for this reason in spite of cultural standing up, many individuals devote high of their cash in order to use a respectable marriage ceremony. A few young couples are employing being married limousine to add an expression regarding class in their marriage ceremony...."
0.266666666666667,"11925","The stage is being set The singers have come on stage The concert should begin shortly They have such a strong vocal presence This was the most powerful and beautiful song I have ever heard"
0.133333333333333,"1199fc3d1c59ac7839a415eb81ec1acc","Many women would agree that there are a few things in life as rewarding as motherhood. These women would also agree that having children takes a major toll on your body. For this reason, there has been a major increase in the number of mothers that are seeking mommy makeovers from a trusted plastic surgeon. With the help of Los Angeles Plastic Surgery women are able to turn back the clock."
0.222222222222222,"11c462d2e7f55b4f4b6c8103f9f24d7d","How well your body works for you depends on what you put into it. It is vital to understand and practice proper nutrition in order to live a healthy life. Use these ideas and incorporate them into your daily nutrition regimen. A great life depends on good nutrition! Altering one's cooking techniques may greatly improve the quality of food. By steaming or boiling your food as opposed to frying it, you will be able to cut down on fat. Preparing your meals in a healthy way allows you to eat more nutritious foods."
0.266666666666667,"11c4fec9b34d206e376b9fd8e9bb121a","People come, then go. A song plays, then ends. You take a bath, then you get dirty again. You eat, then you get hungry again. You lose someone good, then someone else comes along and you realize that he/she's better. You fall down, and you get back up because staying down on the cold floor isn't really an option. This is the ugly truth of life. It's like a game of snake and ladders. We just have to keep going."
0.288888888888889,"11da79569dfd041bade6070ad4865ad2","This is a wonderful way to make contacts and have some others keep in mind you. You will be surprised how quite a few requests arrive your way right after making an attempt this.Closing ObserveThere are various points you can do to get Facebook followers quick. Just be proactive in reaching other people and be positive to utilize every thing the web site has to give."
0.644444444444444,"12314","There was a family gathering at my sister's house a few weeks ago. My sister made cute signs directing people towards the refreshments. I talked to her while she was holding her new baby. We took a lot of funny pictures of the baby doing adult things. I helped her with hanging up even more funny signs that made the guests laugh."
0.222222222222222,"12361_0","The news this morning covered the most recent plane crash. It was very sad to see the pictures of all the people who were injured, or worse. Luckily some of the people got out of the plane using parachutes. There are several survivors who I'm sure will tell this story for the rest of their lives. For many, this day probably replaced whatever bad day as the worst day of their lives, for some, this will be the day that makes them the most grateful for their lives."
0.133333333333333,"12484_2","I only have a few ingredients to make family dinner tonight. Here are the rest of my ingredients that are not cheese. I prepare the fish in a butter poach. This is what the meal looks like when it's all cooked and finished. The meal will be ready to serve in minutes."
0.155555555555556,"1259041","this morning i went jogging/walking/running, and i feel so great. and then i poisoned my body with one of Little Debbie's devil cremes. Damn you Little Debbie, and your scrumptious pastries!But, hey! i still feel pretty gosh darn good. I'm going to leave the house early so i can go downtown and r..."
0.266666666666667,"12908","I took my son to the parade in July. We honored the veterans as they rode through parade. As the fireworks detonated, the floats drove past the dealership. We clapped as the trombones passed with all the musicians. The local school put on a performance. Every year, the snow fall begins around the same time."
0.177777777777778,"12908_1","I took my son to the parade in July. We honored the veterans as they rode through parade. As the fireworks detonated, the floats drove past the dealership. We clapped as the trombones passed with all the musicians. The local school put on a performance."
0.377777777777778,"12960","The dog was ready to go. A man walks past a parade. He sees a woman on a float dressed as a sea monster. Next, a group of men holding huge rocket launchers marched past. A few floats later, a woman dressed as a mermaid went by. Last, he was greeted by a performer dressed as a transformer who went through the crowd"
0.222222222222222,"13163","Our family is making desserts. We have many different types. My cousin is here helping out too. My daughter thinks they're really tasty. The whole family enjoys them."
0.222222222222222,"13163_2","Our family is making desserts. We have many different types. My cousin is here helping out too. My daughter thinks they're really tasty. The whole family enjoys them."
0.177777777777778,"13220_1","What happened to the picture I took it's not here. Who messed with my camera roll where is the picutre. That's the last time I use someone elses camera. Where is my picture? Awesome shots taken will never be seen since there is no picture here."
0.222222222222222,"13221_0","Every year, the snow fall begins around the same time. The winter always gives the graveyard an eerie glow. In order to keep yourself a bit warmer, you can sit at the table away from the snow. But it's also nice to walk at night with a loved one for a romantic evening. Just as long as you return home before morning when you can sleep off the cold."
0.288888888888889,"1337af33de5794ad718a296e430d2483","A majority of individuals become so bothered about trying to live a healthy lifestyle, that in the end they actually interfere with leading a healthy lifestyle. The reason for this is because stress can be defiant against any stabs you take at bettering your own health. The simple fact is that there are a million little things that you can do to improve your health that do not involve stress, major changes or lots of money spent."
0.488888888888889,"133ca9ba89e2ab2f2b8e3d7aa53ec562","I hate cleaning the house. If I could get out of it i would. For some reason though I can't. It makes me crazy though cause I'm like a closet neat freak. In the same breath though I'm a slob. Crazy, I know. I want a maid though. But as much as I hate and like cleaning I can't stand doing the dishes. Oh well, I guess I will just go clean the house. I can't put if off any longer. Laters loves byes!"
0.288888888888889,"13431_1","my son is learning how to appreciate cars. he's helping me learn our family car today. I'm trying to get him to concentrate. but he's more concerned with the handle than the car. we'll finish cleaning the car eventually."
0.177777777777778,"13578","Today it was finally Easter at our church. The kids gathered to find eggs.q This little girl was having a hard time finding some. Those kids took just a few minutes to find most of the eggs. Overall the kids enjoyed their Easter hunt."
0.177777777777778,"13681_3","Time to prepare this lavish dinner. This was the first serving of the night. This is how the desert was prepard. Thie main course was kind of small. I needed antacids after that weird meal."
0.177777777777778,"1379753132cda00189d9ca564441367e","'RESPECT' those friends,Who find TimE for u in their buzy schedule..... BUT ""LOVE"" those friends....... ;Who Never See their schedule when u Need them.......! Dad, my wonderful friend ;Delightful And Loving; Loved And Admired;Dad, You’re My Hero, My Life You’ve Inspired. And When All My Blessings, Are Counted Each Day"
0.288888888888889,"13826_2","The napkins were set the platter was arranged bautifully the walls properly decorated the entertainment had arrived lets get ready to pary"
0.177777777777778,"13859_1","Currently at an artist retreat. This installation is interesting, They call this piece ""the road to nowhere."" Even the trees look artsy here. My favorite art piece of teh whole retreat."
0.155555555555556,"1393b057204b3fd57bb2b5722dc40e13","Hi everyone, I dont underastand this place but its sure a good place to express ourselves. So me like guitar and music, i would love to practice and gain more with the guitar. Pls help"
0.288888888888889,"14215","My Gallery Opening! Here is my first piece - made in the image of the classic Marlboro advertising designs. My inspiration for the next piece is 80's contemporary titled, 'How many licks to the center....?' I'm positive you get the reference! Now for the centerpiece of my Gallery, a work I've titled 'Golden Blob'. The symbolism - so apparent, right? This is McKayla - pronounced Mac-Key-Lahhh. She's my intern. Her contribution on my American Flag project, titled 'America the Glamorous', was invaluable."
0.266666666666667,"14240","Our school held its anual giant book fair. The children love to color and draw. There were many books to choose from. The children were drawing a nice picture. After the book fair ended, there were a bunch of kids still drawing."
0.222222222222222,"14491","There were lots of food. We were ready to eat. We unwrapped the candy. The photo was an advertisement. The street was dark."
0.355555555555556,"14847","Dad likes to show up without a shirt at the table. It is ok because its his birthday and I got him a card. Dad always looks so happy with my mom , his wife. They loved taking pictures together under the sun. I can honestly say they are both smart and the cutest couple."
0.222222222222222,"15050","This hotel better be worth it. I know I cant affor this place. That dress cost as much as a small car. The dinner was fanc. I'm going to steal some of the teas before I leave."
0.222222222222222,"15125_0","The urban culture in town is popular. People especially love the tunnels. The walls are covered with grafitti by different artists. People love going to the urban side of town with their friends. They love to pose for pictures and explore."
0.2,"15171ba00bc775e7d87891691117ee6c","I love my dreams, coz it doesnt matter its black or white or coloured. I love my dreams, coz I include my own characters the way I want them. ;I love my dreams, coz I m sure they come true some time ;I love my dreams, coz I can twist and turn them if I dont like it ;I love my dreams, coz I am the only one who has access to it ;I love my dreams, coz I can pause it and play it again.... actually"
0.488888888888889,"154c1959c18d61d4adfd4e501a74d93b","For any one that has started a blog or a website, after they have gone through all the techie setup and have found a theme that screams this is me..  If you have a Wordpress site, or blog one most important things is to make sure that our site is secure at all times with the best security plugi..."
0.266666666666667,"154d14665eed2898811501cdd0871165","I dedicate my life to supporting other people as they create their ideal lives and accomplish their objectives. Clearly I practice what I teach, therefore each new perspective I add to my information base rewards us all. Hence I set myself the job of discovering what the Bible can provide to individuals who genuinely want to locate a life-journey that is content, wealthy and fulfilling."
